Registry order,Arcana ID,Arcana,Element,Runtime handler,Primary behavior,Compound tags,Gameplay geometry,Origin / ownership,Aim model,Max reach (units),Inner radius / dead zone,Outer radius / half-width,Multiplicity / density,Persistence (s),"Largest single footprint (sq units, est.)",Single-footprint tier,Estimated unique cast coverage (sq units),Cast-coverage tier,Coverage interpretation,Contact reliability (1-5),Full-value reliability (1-5),Reliability gap,Control,Defense,Resource / commitment,Coded full-value condition,Produces states,Naturally benefits from,Role hypothesis,Audit flags / implementation notes,Geometry confidence,Authoritative runtime source,Has audit flag
45,EARTHEN-AEGIS,Earthen Aegis,Earth,wizardArcaneTypes,Caster formation,formation; defense; independent ledgers; open center,Eight discrete shield disks orbiting in an open-center formation,Formation follows the live caster,Radial; no aim after cast,4.23,2.87,4.23,8 independently tracked shields,4.5,11.62,Medium (4-12),30.34,Huge (30-70),11.62 is the sum of eight simultaneous shield disks; 30.31 is the annulus they can sweep while orbiting. Center remains open.,5,4,1,1 world-unit knockback per shield,Every shield erases hostile projectiles without being consumed,8 s cooldown,Each shield can hit each target once; full value needs multiple shield contacts or multiple enemies,projectile-cleared; pushed; protected orbit,surrounded; incoming projectiles,Engine / high-floor,,High,src/wizard-arcane-types-runtime.js,False
46,BALL-LIGHTNING,Ball Lightning,Lightning,wizardArcaneTypes,Traveling carrier,vulnerable charge; attach; repeated pulses,Charge-scaled projectile capsule → attached pulse object,Projectile attaches to first target,Live aim during vulnerable charge; snapshot on release,12.0,,1.0,5-10 contact pulses,1.5,3.14,Small (1-4),27.14,Large (12-30),Full-charge corridor shown; minimum-charge radius .52 gives a much narrower path.,3,4,-1,7.5 world-unit initial knockback at full spec,,5.5 s cooldown; hold up to 1.5 s while vulnerable,Full charge is required for ten pulses and maximum shock; projectile must then contact a target,maximum shock; attached repeated hits; heavy push,pinned; isolated priority target,Payoff specialist,,High,src/wizard-arcane-types-runtime.js,False
47,AQUA-BEAM,Aqua Beam,Water,wizardArcaneTypes,Attached strike,stored stock; beam; limited sweep; defensive,"Long, wide rectangular beam",Beam origin follows the live player; direction can sweep within ±15° of initial aim,Limited live aim during channel,13.5,,1.15,3-10 ticks based on stored stock,1.2,31.05,Huge (30-70),,Dynamic / unranked,31.05-square-unit full-length rectangle before scenery clipping; live limited sweep can enlarge total union.,4,4,0,2 world-unit push on every tick,Pierces enemies and erases hostile projectiles,Passively stores 3-10 charges at .75 s each; spends all,Full ten-tick value requires maximum stock and targets staying in the sweeping beam,projectile-cleared; pushed; long piercing lane,pinned; grouped; corridor alignment,Payoff / defense bridge,,High,src/wizard-arcane-types-runtime.js,False
48,ARCANE-INTERVENTION,Arcane Intervention,Chaos,wizardArcaneTypes,Zone / field,capture; teleport; reactivation; remote zone,Player-following capture disk + remote destination storm disk,Capture field follows player until recast/2 s delay; rod/storm are world-owned,Directional rod placement; second activation or timeout,8.75,,3.8,Capture field + arrival event + 5 storm ticks,2.0,45.36,Huge (30-70),,Dynamic / unranked,Capture disk is 45.36 sq units; destination storm is 29.22. Their remote centers make whole-cast union much larger.,4,3,1,Teleports eligible ordinary enemies; inward arrival/storm forces,,4.25 s cooldown; two-step/reactivation sequence,Targets must be inside the moving capture field at trigger time and have a valid landing; large enemies are immune,grouped at destination; teleported; inside-storm,dense ordinary enemies; prepared destination zone,Setup specialist,,High,src/wizard-arcane-types-runtime.js,False
49,FLAME-BREATH,Flame Breath,Fire,wizardVfxArcana,Attached strike,cone channel; snapshot; defensive,Fixed rounded frontal sector,Snapshots cast frame; does not follow later player movement,Activation snapshot,3.9,,3.4,3 contacts,0.95,9.25,Medium (4-12),9.25,Medium (4-12),Sector estimate uses half-angle .80 and 3.4 reach; max reach includes .5 origin offset.,4,3,1,Very light forward nudge,Active cone destroys hostile projectiles,Rooted-looking .95 s source sequence,Targets must stay in the snapshot cone through three hit times,burning opportunity; projectile-cleared,grouped; close; rooted,Bridge,,High,src/wizard-vfx-arcana-runtime.js,False
50,SEARING-CROWN,Searing Crown,Fire,wizardVfxArcana,Zone / field,radial; pull-then-push; fixed anchor,Growing fixed disk with larger finisher disk,World-owned at original cast frame,Radial; no aim,4.4,,4.4,5 inward ticks + finisher,1.6,60.82,Huge (30-70),60.82,Huge (30-70),Finisher is a 60.82-square-unit disk; tick radius grows only to about 3.27.,5,4,1,Low inward force then 2.2 outward push,,Fixed 1.6 s schedule,Full sequence requires targets to remain near the original cast point until finisher,grouped; then pushed; burning,rooted; slowed; pre-grouped enemies,Self-combo bridge,"Card language can read like a caster-following crown, but gameplay stays at the original cast frame.",High,src/wizard-vfx-arcana-runtime.js,True
51,IGNITION-DRIVE,Ignition Drive,Fire,wizardVfxArcana,Zone / field,ordered ground line; carry; endpoint finisher,Five overlapping circular explosions walking down a line,World-owned ordered beat centers,Activation direction snapshot,11.4,,2.15,4 small disks + 1 large finisher,0.4,14.52,Large (12-30),28.25,Large (12-30),Current five-disk union is ~28.25 sq units; centers run from 2.25 to 9.25 forward.,4,3,1,Early beats move targets toward the next center,,Five-beat automatic route,Full payoff requires early beats to keep the target aligned into the endpoint finisher,carried/aligned; endpoint cluster; burning,grouped; rooted; lane alignment,Self-combo bridge,,High,src/wizard-vfx-arcana-runtime.js,False
52,ENGULFING-FISSURE,Engulfing Fissure,Fire,wizardVfxArcana,Zone / field,multi-trap; trigger; capture,Three separated trigger disks,Each trap is independently world-owned and consumed,Authored placement around caster; no live targeting,4.32,,0.92,3 traps; first valid target per trap,3.2,7.98,Medium (4-12),7.98,Medium (4-12),Three current trigger disks have ~7.98 sq units of unique union and are intentionally separated rather than one large circle.,3,4,-1,Pulls triggering target to trap center,,One cast places three traps for 3.2 s,A target must enter an unconsumed .92-radius trap; then all five ticks are target-owned,captured; grouped at trap; repeated-hit window,enemy pathing; forced movement; chokepoints,Setup specialist,,High,src/wizard-vfx-arcana-runtime.js,False
53,DRAGON-BLAST,Dragon Blast,Air,wizardVfxArcana,Zone / field,remote radial; pull-then-blast; defensive,Huge fixed disk centered 2.7 units ahead,World-owned dragon-mouth center at cast frame,Activation direction snapshot,7.3,,4.6,5 pull hits + finisher,1.55,66.48,Huge (30-70),66.48,Huge (30-70),Finisher disk is 66.48 sq units; pull disk is radius 4.2 and projectile-clearing volume radius 4.3.,5,4,1,Repeated pull then 2.45 outward blast; slow,Erases hostile projectiles in visible mouth volume,Fixed 1.55 s sequence,Full six-hit value requires target retention near the mouth center,grouped; then pushed; slowed; projectile-cleared,dense groups; rooted targets,Self-combo bridge,"Gameplay collision is a very large disk, broader than the directional mouth silhouette may imply.",High,src/wizard-vfx-arcana-runtime.js,True
54,SHEARING-CHAIN,Shearing Chain,Air,wizardVfxArcana,Movement / route,dash; multi-circle sequence; finisher,Six large offset disks → larger finisher disk while caster dashes,Gameplay hit checks remain relative to the initial cast frame,Activation direction snapshot,6.6,,2.6,6 slash disks + finisher,1.35,21.24,Large (12-30),31.96,Huge (30-70),Current gameplay union of seven hit circles is ~31.96 sq units; player separately dashes 6.6 units.,4,3,1,Route push; stronger finisher push,Finisher clears hostile projectiles,Committed 6.6-unit dash,Full seven-hit value requires targets to remain within the cast-frame circle sequence,pushed; repositioned; projectile-cleared,grouped along starting route,Bridge,Hit circles only advance about 3.4 units from the original cast frame while the player dashes 6.6; collision is not truly synchronized to the full live route.,High,src/wizard-vfx-arcana-runtime.js,True
55,STORM-DRAFT,Storm Draft,Air,wizardVfxArcana,Traveling carrier,curtain; carry; wall slam; dead zone,Broad moving rectangular curtain with point-blank gap,Independent advancing field,Activation snapshot,14.18,1.7,1.35,2 charges,1.3,,Dynamic / unranked,33.7,Huge (30-70),Travel corridor is about 33.70 sq units after the deliberate 1.7-unit spawn gap.,4,2,2,Carries targets; wall impact adds stun,Base projectile clearing disabled,2 charges; 4.5 s recovery,30 bonus damage and 1.35 s stun require a carried target to hit a wall,carried; wall-slammed; stunned,wall-adjacent targets; aligned groups,Payoff specialist,,High,src/wizard-curated-air-source-port.js,False
56,BLURRING-FALCONRY,Blurring Falconry,Air,wizardVfxArcana,Autonomous agent,seeking agent; mark; repeated passes,Seeking falcon → target-centered six-pass orbit,Falcon autonomously marks first valid target,Autonomous seek and authored target orbit,,,2.9,3 charges; 6 passes,1.2,,Dynamic / unranked,,Dynamic / unranked,Use target-centered threat path rather than floor area: six .2 s passes around a 2.9-unit orbit.,5,4,1,Knockback each pass,,3 charges; 4 s recharge,Requires a valid target; full value needs the marked target to survive all six passes,marked; repeated autonomous hits; pushed,isolated priority target; stunned/rooted targets,Engine / payoff,,High,src/wizard-curated-bubble-falcon-source-port.js,False
57,WHIRLING-WIND-AGENT,Whirling Wind Agent,Air,wizardVfxArcana,Autonomous agent,two summons; melee charges; autonomous,Two mobile agents repeatedly create charge corridors,"Agents follow, seek, and overshoot targets",Autonomous targeting,11.0,,,2 agents; charge about once/s each,10.0,,Dynamic / unranked,,Dynamic / unranked,Use 11-unit seek envelope and repeated dynamic charge lanes rather than one fixed area.,5,4,1,Knockback; source supports wall-slam reaction,Two targetable 3-health source agents,15 s cooldown; 10 s duration,Value depends on agent survival and reachable targets,agent hits; pushed; possible wall slam; diverted aggro,marked; slowed; corridors,Engine / high-floor,,High,src/wizard-curated-air-source-port.js,False
58,KNOCKOUT-BOULDER,Knockout Boulder,Earth,wizardVfxArcana,Traveling carrier,large projectile; stun; heavy impact,Huge straight projectile capsule,One fast boulder,Activation snapshot,16.0,,0.85,1 projectile,,2.27,Small (1-4),29.47,Large (12-30),Wide 29.47-square-unit swept corridor.,4,5,-1,9 knockback and 1 s stun,,5 s cooldown; .13 s windup,No follow-up condition; one contact delivers full current payload,stunned; pushed; wall-adjacent,large target; straight corridor,Setup / generalist,,High,src/wizard-curated-earth-projectile-source-port.js,False
59,TOXIC-BOLAS,Toxic Bolas,Earth,wizardVfxArcana,Traveling carrier,root; poison; single target,Fast single projectile; collision radius not exposed in public tuning,One vine-linked bola,Activation snapshot,12.0,,,1 projectile,5.0,,Dynamic / unranked,,Dynamic / unranked,"Range is code-grounded; carrier radius is not exposed in the selected tuning, so area remains unranked pending a collision audit.",3,5,-2,5 s root,,6 s cooldown,"Once projectile contact occurs, root and five poison ticks are reliable",rooted; poisoned; repeated-hit window,straight-line aim; priority target,Setup specialist,Needs exact live collision-radius extraction before area ranking.,Medium,src/wizard-curated-earth-projectile-source-port.js,True
60,ROCK-N-ROLL,Rock N' Roll,Earth,wizardVfxArcana,Traveling carrier,ground projectile; two lanes; repeated contact,"Two separated, slightly splayed ground-carrier capsules",Two parallel stone saws,Activation snapshot,12.0,,0.78,2 lanes; repeat contact every .17 s,,3.82,Small (1-4),41.26,Huge (30-70),Current two-lane union is ~41.26 sq units; lanes are 1.75 apart and slightly splayed.,4,3,1,Repeated knockback,,1.15 s source cooldown; .16 s windup,Full value requires target retention in one moving saw for repeated contacts,repeated hits; pushed; two-lane pressure,rooted; large targets; corridors,Payoff platform,,High,src/wizard-curated-earth-agent-source-port.js,False
61,EARTH-STOMP-AGENT,Earth Stomp Agent,Earth,wizardVfxArcana,Autonomous agent,summon; repeated AoE; leap,Mobile agent repeatedly creates target-centered circular stomps,"Agent follows caster, seeks, leaps, and lands",Autonomous targeting,9.5,,3.3,1 agent; stomp about every 1.1 s,10.0,34.21,Huge (30-70),,Dynamic / unranked,Each stomp is a 34.21-square-unit disk inside a mobile 9.5-unit seek envelope.,5,4,1,13 knockback per stomp,Agent presence can divert pressure,15 s cooldown; 10 s duration,Value depends on agent survival and targets inside seek range,agent hits; pushed; repeated radial pressure,grouped; slowed targets,Engine / high-floor,,High,src/wizard-curated-earth-agent-source-port.js,False
62,TERRA-RING,Terra Ring,Earth,wizardVfxArcana,Zone / field,radial lanes; huge coverage; repeated contact,Nine radial ground capsules tunneling outward,Standalone source anchored at cast point,Radial; random base rotation,9.2,,1.24,9 lanes; max 5 hits per target,2.6,,Dynamic / unranked,189.03,Extreme (70+),Approximate 189-square-unit union after the live adapter's baked 2× source scale; nine even radial corridors from ~1.1 to 9.2.,5,3,2,Outward lane knockback,,5 s source cooldown,Five-hit ceiling requires a target to intersect multiple sequential rock contacts,pushed; radial lanes; repeated-hit opportunity,surrounded; large groups,High-floor bridge,One of four standalone-source cards with an additional baked 2× world scale at Arcana Size 1.,Medium,src/wizard-earth-arcana-source-port.js,True
63,GRASPING-EARTH,Grasping Earth,Earth,wizardVfxArcana,Zone / field,mass capture; target seeking; enormous radius,Expanding capture disk → target-seeking crags → target-owned fists,Standalone source anchored at caster,Radial acquisition; autonomous target pursuit after release,9.2,,9.2,One crag/fist per eligible target in disk,5.4,265.9,Extreme (70+),265.9,Extreme (70+),Effective max capture disk is ~265.90 sq units after baked 2× source scale.,5,5,0,Captures/holds every eligible target; stun bridge in adapter,,Auto-charges to max over 1.35 s in current adapter; 7.5 s source cooldown,Targets must be inside the max capture disk at auto-release; each captured target then receives full fist sequence,captured; pinned; repeated-hit window; grouped by ownership,dense ordinary enemies,Setup specialist / dominance risk,Baked 2× standalone scale makes current world radius 9.2. Live adapter auto-releases at full charge rather than exposing early release.,Medium,src/wizard-earth-arcana-source-port.js,True
64,TECTONIC-DRILL,Tectonic Drill,Earth,wizardVfxArcana,Movement / route,moving body; pin; repeated contact,Large moving circular carrier / route capsule,Drill moves down aim route and drags the caster partway,Activation direction snapshot,9.0,,1.35,Repeated contacts every .18 s,1.6,5.73,Medium (4-12),26.79,Large (12-30),Carrier starts 1.2 forward and travels 7.8; player translation is capped at 2.6.,4,4,0,Pins/conveys targets forward,,Committed moving carrier,Repeated value requires target to stay inside the drill body,pinned; transported; aligned route,grouped; wall or endpoint setups,Setup / payoff bridge,,High,src/wizard-vfx-arcana-runtime.js,False
65,ROCK-SOLID-TOMAHAWK,Rock-Solid Tomahawk,Earth,wizardVfxArcana,Traveling carrier,returning projectile; shared ledger,Broad outbound and curved-return carrier path,One returning axe with a shared per-target hit set,Activation snapshot; return follows authored curve to cast anchor,9.3,,0.95,1 outbound + return path,2.1,2.84,Small (1-4),37.04,Huge (30-70),~37.0 is a rough round-trip corridor estimate; curved return adds some new space but shares one hit ledger.,4,3,1,Forward knockback,,2.1 s authored sequence,A target can be damaged only once across both outbound and return legs,pushed; returning hazard,broad groups along curved path,Generalist,"Unlike Cyclone Boomerang, outbound and return do not own separate target hits.",Medium,src/wizard-vfx-arcana-runtime.js,True
66,SHOCK-NOVA,Shock Nova,Lightning,wizardVfxArcana,Attached strike,charged radial; shock; huge effective size,Charged fixed circular discharge,Standalone source anchored at original cast point,Radial; no aim,4.2,,4.2,Repeated .12 s source contacts during .7 s discharge,2.13,55.42,Huge (30-70),55.42,Huge (30-70),Effective 55.42-square-unit disk after baked 2× source scale; 1.43 s charge precedes .7 s discharge.,4,4,0,Shock stacking and delayed discharge,,1.43 s committed charge,Targets must remain in the fixed discharge; current adapter does not expose the enhanced larger wheel,shocked; delayed discharge; repeated hits,grouped; rooted; enemies committed near cast point,Payoff / dominance risk,One of four standalone-source cards with baked 2× world scale. Charge vulnerability/movement lock is not as explicitly integrated as Ball Lightning's.,Medium,src/wizard-lightning-arcana-source-port.js,True
67,STAR-BOLT,Star Bolt,Lightning,wizardVfxArcana,Traveling carrier,five-shot cadence; shock; long range,Five fast narrow projectile corridors,Standalone source emits a five-throw cadence,Activation/cast-frame direction,18.0,,0.68,5 throws,4.1,1.45,Small (1-4),25.93,Large (12-30),Effective range/radius estimate includes the baked 2× source scale; repeated throws mainly add density.,3,3,0,Shock charge and delayed discharge,,.75 s throw cadence; .13 s windup,Full sequence requires continued alignment through five throws and shock hold,shocked; repeated lane pressure,pinned; straight corridors,Payoff platform,One of four standalone-source cards with baked 2× world scale.,Medium,src/wizard-lightning-arcana-source-port.js,True
68,AQUA-VORTEX,Aqua Vortex,Water,wizardVfxArcana,Zone / field,radial; one hit; defensive,Fixed circular disk,World-owned at original cast point,Radial; no aim,3.1,,3.1,1 gameplay contact,0.8,30.19,Huge (30-70),30.19,Huge (30-70),30.19-square-unit disk; visual spiral collapses after the single timed hit.,5,5,0,,Continuously erases hostile projectiles inside radius,.8 s fixed sequence,No multi-hit retention requirement in current gameplay,projectile-cleared; radial hit,surrounded; incoming projectiles,Defense bridge,,High,src/wizard-vfx-arcana-runtime.js,False
69,AQUA-BREAKER,Aqua Breaker,Water,wizardVfxArcana,Traveling carrier,charge; rolling carrier; huge finisher,Charged large rolling disk → enormous endpoint finisher disk,Carrier detaches and travels down aim line,Activation snapshot,10.35,,4.6,Entry + repeat pass hits + finisher,3.5,66.48,Huge (30-70),,Dynamic / unranked,"Finisher alone is 66.48 sq units. Rolling body reaches roughly 1.9 radius and travels about 8-9 units, so whole-cast union is larger.",4,3,1,Carries targets toward rolling center; heavy outward finisher,,1.9 s committed charge,Full stacked pass damage requires target retention in the rolling body until endpoint break,carried; endpoint cluster; pushed,grouped; rooted; aligned targets,Self-combo payoff,,High,src/wizard-vfx-arcana-runtime.js,False
70,BUBBLE-BARRAGE,Bubble Barrage,Water,wizardVfxArcana,Traveling carrier,stock release; stochastic; drifting projectiles,Dense stochastic stream of drifting circular projectiles,"Up to ten independent bubbles with drag, drift, wobble, and light wall bounce",Activation snapshot with random spread,,,0.34,Up to 10 stock; .034 s emission gap,5.0,3.63,Small (1-4),,Dynamic / unranked,"No single deterministic union: launch 16.5, drag 2.7, drift floor 1.6, spread .30 and wall bounce create a broad probabilistic cloud.",4,2,2,15 knockback per bubble,,Stores 10; one returns every .5 s; empties all stock,Full ten-bubble value requires maximum stock and target interception across stochastic paths,pushed; stochastic area denial; repeated hits,large groups; walls; slowed targets,Payoff platform,Needs runtime telemetry rather than analytic geometry for trustworthy unique-area and full-hit estimates.,Medium,src/wizard-curated-bubble-falcon-source-port.js,True
